VPV,IPV,D,T,IRR
342.31,276.18,0.42157,0,1000
342.57,275.85,0.42365,0,1000
343.13,275.27,0.42365,0,1000
343.25,275.08,0.41463,0,1000
343.68,274.62,0.41872,0,1000
343.65,274.59,0.40777,0,1000
343.93,274.29,0.40777,0,1000
343.75,274.41,0.41379,0,1000
343.9,274.25,0.40488,0,1000
343.62,274.5,0.40686,0,1000
343.67,274.46,0.40887,0,1000
343.29,274.8,0.40887,0,1000
343.26,274.85,0.40887,0,1000
342.82,275.27,0.40887,0,1000
342.73,275.39,0.40686,0,1000
342.21,275.87,0.41379,0,1000
342.05,276.06,0.41872,0,1000
341.46,276.6,0.41667,0,1000
341.23,276.85,0.42365,0,1000
340.6,277.42,0.41951,0,1000
340.34,277.7,0.42857,0,1000
339.64,278.3,0.42857,0,1000
339.32,278.63,0.41951,0,1000
338.58,279.25,0.42857,0,1000
338.21,279.61,0.42647,0,1000
337.44,280.23,0.42647,0,1000
337.05,280.6,0.4335,0,1000
336.26,281.21,0.4335,0,1000
335.87,281.57,0.43137,0,1000
335.07,282.16,0.4335,0,1000
334.68,282.49,0.4335,0,1000
333.9,283.05,0.41827,0,1000
333.53,283.36,0.42647,0,1000
332.76,283.88,0.42439,0,1000
332.41,284.16,0.41748,0,1000
331.71,284.63,0.42157,0,1000
331.43,284.86,0.42157,0,1000
330.82,285.25,0.42365,0,1000
330.65,285.4,0.41667,0,1000
330.16,285.71,0.41872,0,1000
330.1,285.79,0.41176,0,1000
329.7,286.02,0.41379,0,1000
329.75,286.03,0.41379,0,1000
329.48,286.19,0.40686,0,1000
329.66,286.12,0.40488,0,1000
329.52,286.2,0.40887,0,1000
329.82,286.06,0.40887,0,1000
329.83,286.06,0.4,0,1000
330.27,285.83,0.40887,0,1000
330.4,285.74,0.40488,0,1000
330.96,285.42,0.41176,0,1000
331.2,285.26,0.41872,0,1000
331.86,284.86,0.41463,0,1000
332.21,284.62,0.42365,0,1000
332.97,284.13,0.42857,0,1000
333.42,283.81,0.42857,0,1000
334.26,283.24,0.42857,0,1000
334.76,282.85,0.42857,0,1000
335.64,282.21,0.42647,0,1000
336.17,281.77,0.4335,0,1000
337.07,281.07,0.4335,0,1000
337.6,280.6,0.4335,0,1000
338.48,279.87,0.43137,0,1000
339.02,279.38,0.42927,0,1000
339.9,278.6,0.43137,0,1000
340.39,278.1,0.4335,0,1000
341.21,277.33,0.4335,0,1000
341.6,276.89,0.42439,0,1000
342.31,276.18,0.42157,0,1000
342.57,275.85,0.42365,0,1000
343.13,275.27,0.42365,0,1000
343.25,275.08,0.42365,0,1000
343.68,274.62,0.41872,0,1000
343.65,274.59,0.41872,0,1000
343.93,274.29,0.41176,0,1000
343.75,274.41,0.41379,0,1000
343.9,274.25,0.40488,0,1000
343.62,274.5,0.40686,0,1000
343.67,274.46,0.40887,0,1000
343.29,274.8,0.40887,0,1000
343.26,274.85,0.40887,0,1000
342.82,275.27,0.4,0,1000
342.73,275.39,0.40887,0,1000
342.21,275.87,0.39904,0,1000
342.05,276.06,0.41176,0,1000
341.46,276.6,0.41872,0,1000
341.23,276.85,0.42365,0,1000
340.6,277.42,0.42157,0,1000
340.34,277.7,0.42857,0,1000
339.64,278.3,0.42857,0,1000
339.32,278.63,0.42439,0,1000
338.58,279.25,0.42647,0,1000
338.21,279.61,0.4335,0,1000
337.44,280.23,0.4335,0,1000
337.05,280.6,0.43137,0,1000
336.26,281.21,0.42927,0,1000
335.87,281.57,0.43842,0,1000
335.07,282.16,0.43842,0,1000
334.68,282.49,0.43842,0,1000
333.9,283.05,0.43137,0,1000
333.53,283.36,0.4335,0,1000
332.76,283.88,0.42857,0,1000
332.41,284.16,0.42157,0,1000
331.71,284.63,0.42365,0,1000
331.43,284.86,0.41872,0,1000
330.82,285.25,0.41872,0,1000
330.65,285.4,0.41176,0,1000
330.16,285.71,0.41379,0,1000
330.1,285.79,0.41379,0,1000
329.7,286.02,0.40686,0,1000
329.75,286.03,0.40887,0,1000
329.48,286.19,0.40887,0,1000
329.66,286.12,0.40887,0,1000
329.52,286.2,0.40887,0,1000
329.82,286.06,0.40196,0,1000
329.83,286.06,0.40196,0,1000
330.27,285.83,0.40887,0,1000
330.4,285.74,0.41379,0,1000
330.96,285.42,0.41872,0,1000
331.2,285.26,0.41667,0,1000
331.86,284.86,0.42365,0,1000
332.21,284.62,0.42157,0,1000
332.97,284.13,0.42157,0,1000
333.42,283.81,0.42157,0,1000
334.26,283.24,0.42157,0,1000
334.76,282.85,0.42857,0,1000
335.64,282.21,0.42857,0,1000
336.17,281.77,0.42647,0,1000
337.07,281.07,0.42439,0,1000
337.6,280.6,0.4335,0,1000
338.48,279.87,0.4335,0,1000
339.02,279.38,0.43137,0,1000
339.9,278.6,0.4335,0,1000
340.39,278.1,0.4335,0,1000
341.21,277.33,0.42233,0,1000
341.61,276.89,0.42857,0,1000
342.31,276.18,0.42157,0,1000
342.57,275.85,0.42365,0,1000
343.13,275.27,0.41667,0,1000
343.25,275.08,0.41667,0,1000
343.68,274.62,0.41872,0,1000
343.65,274.59,0.41176,0,1000
343.93,274.29,0.41379,0,1000
343.75,274.4,0.41379,0,1000
343.9,274.25,0.40686,0,1000
343.62,274.5,0.40887,0,1000
343.67,274.46,0.40887,0,1000
343.29,274.8,0.40887,0,1000
343.26,274.85,0.40196,0,1000
342.82,275.27,0.40196,0,1000
342.73,275.39,0.40887,0,1000
342.21,275.87,0.41379,0,1000
342.05,276.06,0.41176,0,1000
341.46,276.6,0.41872,0,1000
341.23,276.85,0.42365,0,1000
340.6,277.42,0.42157,0,1000
340.34,277.7,0.42157,0,1000
339.64,278.3,0.42157,0,1000
339.32,278.63,0.42157,0,1000
338.58,279.25,0.42857,0,1000
338.21,279.61,0.42857,0,1000
337.44,280.23,0.42647,0,1000
337.05,280.6,0.42439,0,1000
336.26,281.21,0.4335,0,1000
335.87,281.57,0.4335,0,1000
335.07,282.16,0.43137,0,1000
334.68,282.49,0.4335,0,1000
333.9,283.05,0.4335,0,1000
333.53,283.36,0.4335,0,1000
332.76,283.88,0.42647,0,1000
332.41,284.16,0.42857,0,1000
331.71,284.63,0.42365,0,1000
331.43,284.86,0.41667,0,1000
330.82,285.25,0.41667,0,1000
330.65,285.4,0.41872,0,1000
330.16,285.71,0.41176,0,1000
330.1,285.78,0.41379,0,1000
329.71,286.02,0.40291,0,1000
329.75,286.03,0.40686,0,1000
329.48,286.19,0.40887,0,1000
329.66,286.12,0.40887,0,1000
329.52,286.2,0.40887,0,1000
329.82,286.06,0.40196,0,1000
329.83,286.06,0.40196,0,1000
330.27,285.82,0.40887,0,1000
330.4,285.74,0.41379,0,1000
330.96,285.42,0.41176,0,1000
331.2,285.26,0.41463,0,1000
331.86,284.86,0.42365,0,1000
332.21,284.62,0.42157,0,1000
332.97,284.13,0.42157,0,1000
333.42,283.81,0.42157,0,1000
334.26,283.24,0.42157,0,1000
334.76,282.85,0.42857,0,1000
335.64,282.21,0.42857,0,1000
336.17,281.77,0.42647,0,1000
337.07,281.07,0.42029,0,1000
337.6,280.6,0.4335,0,1000
338.48,279.87,0.4335,0,1000
339.02,279.38,0.43137,0,1000
339.9,278.6,0.4335,0,1000
340.39,278.1,0.4335,0,1000
341.21,277.33,0.4335,0,1000
341.61,276.89,0.42647,0,1000
342.31,276.18,0.42857,0,1000
342.57,275.85,0.42365,0,1000
343.13,275.27,0.41667,0,1000
343.25,275.08,0.41667,0,1000
343.68,274.62,0.41872,0,1000
343.65,274.59,0.41176,0,1000
343.93,274.29,0.41379,0,1000
343.75,274.4,0.41379,0,1000
343.9,274.25,0.40686,0,1000
343.62,274.5,0.40887,0,1000
343.67,274.46,0.40887,0,1000
343.29,274.8,0.40887,0,1000
343.26,274.85,0.40196,0,1000
342.82,275.27,0.40196,0,1000
342.73,275.39,0.40887,0,1000
342.21,275.87,0.41379,0,1000
342.05,276.06,0.41176,0,1000
341.46,276.6,0.41872,0,1000
341.23,276.85,0.42365,0,1000
340.6,277.42,0.42157,0,1000
340.34,277.7,0.42157,0,1000
339.64,278.3,0.42157,0,1000
339.32,278.63,0.42857,0,1000
338.58,279.25,0.42857,0,1000
338.21,279.61,0.42647,0,1000
337.44,280.23,0.4335,0,1000
337.05,280.6,0.4335,0,1000
336.26,281.21,0.43137,0,1000
335.87,281.57,0.43137,0,1000
335.07,282.16,0.43842,0,1000
334.68,282.49,0.43137,0,1000
333.9,283.05,0.42927,0,1000
333.53,283.36,0.4335,0,1000
332.76,283.88,0.42647,0,1000
332.41,284.16,0.41951,0,1000
331.71,284.63,0.42365,0,1000
331.43,284.86,0.42365,0,1000
330.82,285.25,0.42365,0,1000
330.65,285.4,0.41872,0,1000
330.16,285.71,0.41872,0,1000
330.1,285.78,0.41176,0,1000
329.71,286.02,0.41379,0,1000
329.75,286.03,0.40488,0,1000
329.48,286.19,0.40686,0,1000
329.66,286.12,0.40887,0,1000
329.52,286.2,0.40887,0,1000
329.82,286.06,0.40887,0,1000
329.83,286.06,0.40887,0,1000
330.27,285.82,0.40887,0,1000
330.4,285.74,0.41379,0,1000
330.96,285.42,0.41176,0,1000
331.2,285.26,0.41872,0,1000
331.86,284.86,0.42365,0,1000
332.21,284.62,0.42157,0,1000
332.97,284.13,0.42857,0,1000
333.42,283.81,0.42857,0,1000
334.26,283.24,0.42857,0,1000
334.76,282.85,0.42857,0,1000
335.64,282.21,0.42647,0,1000
336.17,281.77,0.4335,0,1000
337.07,281.07,0.4335,0,1000
337.6,280.6,0.4335,0,1000
338.48,279.87,0.43137,0,1000
339.02,279.38,0.4335,0,1000
339.9,278.6,0.4335,0,1000
340.39,278.1,0.4335,0,1000
341.21,277.33,0.42857,0,1000
341.61,276.89,0.42157,0,1000
342.31,276.18,0.42365,0,1000
342.57,275.85,0.41667,0,1000
343.13,275.27,0.41667,0,1000
343.25,275.08,0.41872,0,1000
343.68,274.62,0.41176,0,1000
343.65,274.59,0.41379,0,1000
343.93,274.29,0.41379,0,1000
343.75,274.4,0.40686,0,1000
343.9,274.25,0.40887,0,1000
343.62,274.5,0.40887,0,1000
343.67,274.46,0.40887,0,1000
343.29,274.8,0.40196,0,1000
343.26,274.85,0.40196,0,1000
342.82,275.27,0.40887,0,1000
342.73,275.39,0.41379,0,1000
342.21,275.87,0.41176,0,1000
342.05,276.06,0.41463,0,1000
341.46,276.6,0.42365,0,1000
341.23,276.85,0.42157,0,1000
340.6,277.42,0.42157,0,1000
340.34,277.7,0.42157,0,1000
339.64,278.3,0.42857,0,1000
339.32,278.63,0.42439,0,1000
338.58,279.25,0.42647,0,1000
338.21,279.61,0.4335,0,1000
337.44,280.23,0.4335,0,1000
337.05,280.6,0.43137,0,1000
336.26,281.21,0.43137,0,1000
335.87,281.57,0.43842,0,1000
335.07,282.16,0.43137,0,1000
334.68,282.49,0.43137,0,1000
333.9,283.05,0.4335,0,1000
333.53,283.36,0.42647,0,1000
332.76,283.88,0.41951,0,1000
